-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,truncate,inline-block,text-shopee-primary,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rash-m3g02gmkyxn8a1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Acer Chromebook C738T, (Touchscreen), (OS Chrome), #Flip, Bisa Jadi Tab, Super Slim, Ringan, Seri Baru, Mulus, Lengkap, Black",Rp,1.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,"Acer Chromebook C738T, (Touchscreen), (OS Chrome), #Flip, Bisa Jadi Tab, Super Slim, Ringan, Seri Baru, Mulus, Lengkap, Black
Rp
1.800.000
5.0
3 Terjual
Jakarta Barat",https://shopee.co.id/Acer-Chromebook-C738T-(Touchscreen)-(OS-Chrome)-Flip-Bisa-Jadi-Tab-Super-Slim-Ringan-Seri-Baru-Mulus-Lengkap-Black-i.816009841.29469883727?extraParams=%7B%22display_model_id%22%3A168586261435%2C%22model_selection_logic%22%3A3%7D&sp_atk=cd679f1a-4047-4ae0-9e34-35a46663f033&xptdk=cd679f1a-4047-4ae0-9e34-35a46663f033
https://down-id.img.susercontent.com/file/sg-11134201-23010-7pp9y2sq5qmv88,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop i5 CORE i5 i7 Dell / RAM 8GB / SSD 512GB / SSD 256GB /2TB/1TB/ 14"" - Windows 10, Laptop Bekas Dell i5 Core i5",Rp,1.400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,Cicilan,,,,"Laptop i5 CORE i5 i7 Dell / RAM 8GB / SSD 512GB / SSD 256GB /2TB/1TB/ 14"" - Windows 10, Laptop Bekas Dell i5 Core i5
Rp
1.400.000
Cicilan
4.6
1RB+ Terjual
Jakarta Utara",https://shopee.co.id/Laptop-i5-CORE-i5-i7-Dell-RAM-8GB-SSD-512GB-SSD-256GB-2TB-1TB-14-Windows-10-Laptop-Bekas-Dell-i5-Core-i5-i.20507921.1186092271?extraParams=%7B%22display_model_id%22%3A98892035260%2C%22model_selection_logic%22%3A3%7D&sp_atk=cfa817ab-7344-485a-9cf0-9f889a2c2085&xptdk=cfa817ab-7344-485a-9cf0-9f889a2c2085
https://down-id.img.susercontent.com/file/id-11134207-8224v-mizomn8b1fk217,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Murah Lenovo L380 Core i5 Gen 8  Ram 8Gb 256Gb,Rp,2.650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,25 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,"Laptop Murah Lenovo L380 Core i5 Gen 8 Ram 8Gb 256Gb
Rp
2.650.000
5.0
25 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Murah-Lenovo-L380-Core-i5-Gen-8-Ram-8Gb-256Gb-i.45611939.21094731184?extraParams=%7B%22display_model_id%22%3A355180926933%2C%22model_selection_logic%22%3A3%7D&sp_atk=fa958730-250f-458f-81bd-b54b326d698c&xptdk=fa958730-250f-458f-81bd-b54b326d698c
https://down-id.img.susercontent.com/file/id-11134207-8224r-micpmgnhiepy3f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Laptop Lenovo Thinkpad X13 G1 Ryzen 5 4650U Ram 16GB SSD 256GB Layar 13,3inch",Rp,3.385.805,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,29 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,,"Laptop Lenovo Thinkpad X13 G1 Ryzen 5 4650U Ram 16GB SSD 256GB Layar 13,3inch
Rp
3.385.805
4.5
29 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-Thinkpad-X13-G1-Ryzen-5-4650U-Ram-16GB-SSD-256GB-Layar-13-3inch-i.1523297133.42553201765?extraParams=%7B%22display_model_id%22%3A425650216849%2C%22model_selection_logic%22%3A3%7D&sp_atk=2e1c8925-e75a-44ce-b385-ee944104478e&xptdk=2e1c8925-e75a-44ce-b385-ee944104478e
https://down-id.img.susercontent.com/file/id-11134207-7rbk7-m8cav026ikwu2f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP AXIOO HYPE SERIES - INTEL N4020 8GB RAM 256GB SSD WINDOWS 11,Rp,3.553.900,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"LAPTOP AXIOO HYPE SERIES - INTEL N4020 8GB RAM 256GB SSD WINDOWS 11
Rp
3.553.900
-4%
4.9
1RB+ Terjual
Depok",https://shopee.co.id/LAPTOP-AXIOO-HYPE-SERIES-INTEL-N4020-8GB-RAM-256GB-SSD-WINDOWS-11-i.1367937206.26812647637?extraParams=%7B%22display_model_id%22%3A390571421203%2C%22model_selection_logic%22%3A3%7D&sp_atk=7fb37e2c-741c-4177-b25e-ca04baec74b1&xptdk=7fb37e2c-741c-4177-b25e-ca04baec74b1
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mbf300aj56ckac,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop HP Probook 640 650 6470B G1 G2 G3 G4 G5 Core i5/i7 HP Elitebook 630 G9 RAM 32 SSD 512 SUPER MULUS NO BERGARANSI,Rp,2.100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,99 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-5%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Laptop HP Probook 640 650 6470B G1 G2 G3 G4 G5 Core i5/i7 HP Elitebook 630 G9 RAM 32 SSD 512 SUPER MULUS NO BERGARANSI
Rp
2.100.000
-5%
4.8
99 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-Probook-640-650-6470B-G1-G2-G3-G4-G5-Core-i5-i7-HP-Elitebook-630-G9-RAM-32-SSD-512-SUPER-MULUS-NO-BERGARANSI-i.802578957.21132608568?extraParams=%7B%22display_model_id%22%3A295146779573%2C%22model_selection_logic%22%3A3%7D&sp_atk=458512a8-0308-40c7-8dee-7cf86e871a81&xptdk=458512a8-0308-40c7-8dee-7cf86e871a81
https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mbqom0vcctzyc8,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LAPTOP NOTEBOOK NOTBOOK ASUS E203M 11INCH RAM 4GB SSD 128GB LAPTOP KECIL SANGAT ENAK DIBAWA BAWA LAPTOP RINGAN,Rp,1.950.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3.5,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,"LAPTOP NOTEBOOK NOTBOOK ASUS E203M 11INCH RAM 4GB SSD 128GB LAPTOP KECIL SANGAT ENAK DIBAWA BAWA LAPTOP RINGAN
Rp
1.950.000
3.5
3 Terjual
Jakarta Timur",https://shopee.co.id/LAPTOP-NOTEBOOK-NOTBOOK-ASUS-E203M-11INCH-RAM-4GB-SSD-128GB-LAPTOP-KECIL-SANGAT-ENAK-DIBAWA-BAWA-LAPTOP-RINGAN-i.21730609.43457187542?extraParams=%7B%22display_model_id%22%3A167226167166%2C%22model_selection_logic%22%3A3%7D&sp_atk=b04e55bd-1ffb-42b9-a7c9-1c20d6613a94&xptdk=b04e55bd-1ffb-42b9-a7c9-1c20d6613a94
https://down-id.img.susercontent.com/file/7dcb0e6d62552e00eb4bb58ca45be926,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop HP 14"" celeron",Rp,2.910.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.3,129 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-3%,,"Laptop HP 14"" celeron
Rp
2.910.000
-3%
Cicilan
4.3
129 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-14-celeron-i.9334075.3478816985?extraParams=%7B%22display_model_id%22%3A73602905427%2C%22model_selection_logic%22%3A3%7D&sp_atk=4d510425-0ef4-4d04-acbe-3f5382c97815&xptdk=4d510425-0ef4-4d04-acbe-3f5382c97815
https://down-id.img.susercontent.com/file/id-11134207-7r991-lq0fsu7e402800,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"Notebook ADVAN Soulmate Celeron N4020 4GB/128GB 14"" HD Windows 11",Rp,2.450.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,,,"Notebook ADVAN Soulmate Celeron N4020 4GB/128GB 14"" HD Windows 11
Rp
2.450.000
Semarang",https://shopee.co.id/Notebook-ADVAN-Soulmate-Celeron-N4020-4GB-128GB-14-HD-Windows-11-i.392943082.25306199120?extraParams=%7B%22display_model_id%22%3A250162257421%2C%22model_selection_logic%22%3A3%7D&sp_atk=bc88139d-2dbd-4b8a-afee-cca2dc100b21&xptdk=bc88139d-2dbd-4b8a-afee-cca2dc100b21
https://down-id.img.susercontent.com/file/id-11134207-7rbk3-m6nknl5vh7l351,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,notebook ASUS E203NAH upgrade ssd 256gb ram 2gb,Rp,1.449.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,19 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,"notebook ASUS E203NAH upgrade ssd 256gb ram 2gb
Rp
1.449.000
4.6
19 Terjual
Tangerang",https://shopee.co.id/notebook-ASUS-E203NAH-upgrade-ssd-256gb-ram-2gb-i.18199758.29977378950?extraParams=%7B%22display_model_id%22%3A215818046702%2C%22model_selection_logic%22%3A3%7D&sp_atk=12d42363-98df-41c7-990e-0e923781af98&xptdk=12d42363-98df-41c7-990e-0e923781af98
