-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,inline-block,text-xs/sp14_2,text-xs,text-shopee-primary,truncate,img_2,w-auto,text-white,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wn-mn54kaz5b0g399,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Asus rog phone 3,Rp,2.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,,,4-7 Hari,,,,,,,"Scrape to BigSeller
Asus rog phone 3
Rp
2.000.000
4-7 Hari
Tangerang Selatan",https://shopee.co.id/Asus-rog-phone-3-i.113465188.54208976839?extraParams=%7B%22display_model_id%22%3A267544740805%2C%22model_selection_logic%22%3A3%7D&sp_atk=291080bd-3b39-4a2d-a3da-ed8c70466708&xptdk=291080bd-3b39-4a2d-a3da-ed8c70466708
https://down-id.img.susercontent.com/file/id-11134207-82250-mj7m8xufliir52,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,asus max pr0m1 5000mah normal resmi ram 3gb 32gb hp game garansi resmi bagus samsung a21s a20s,Rp,592.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,4.8,11 Terjual,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"Scrape to BigSeller
asus max pr0m1 5000mah normal resmi ram 3gb 32gb hp game garansi resmi bagus samsung a21s a20s
Rp
592.000
4.8
11 Terjual
3-4 Hari
Jakarta Timur",https://shopee.co.id/asus-max-pr0m1-5000mah-normal-resmi-ram-3gb-32gb-hp-game-garansi-resmi-bagus-samsung-a21s-a20s-i.193315282.23737295725?extraParams=%7B%22display_model_id%22%3A194171671547%2C%22model_selection_logic%22%3A3%7D&sp_atk=e3ccc2d9-237e-4c90-add5-07020b2bcc60&xptdk=e3ccc2d9-237e-4c90-add5-07020b2bcc60
https://down-id.img.susercontent.com/file/id-11134207-822wj-mmid5p7wj2m9bc,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ASUS ZENFONE MAX PRO M1 RAM 3 32GB,Rp,450.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,3-4 Hari,,,,,,,"Scrape to BigSeller
ASUS ZENFONE MAX PRO M1 RAM 3 32GB
Rp
450.000
3-4 Hari
Kab. Cirebon",https://shopee.co.id/ASUS-ZENFONE-MAX-PRO-M1-RAM-3-32GB-i.15759033.48407677216?extraParams=%7B%22display_model_id%22%3A350679423416%2C%22model_selection_logic%22%3A3%7D&sp_atk=07ef2c0a-cbda-4901-851f-25ee7930e3f5&xptdk=07ef2c0a-cbda-4901-851f-25ee7930e3f5
https://down-id.img.susercontent.com/file/id-11134207-822wk-mn2wx9wqek92e5,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Asus Zenfone 11 Ultra 12/256,Rp,5.150.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Trenggalek,,,2-3 Hari,,,,,,,"Scrape to BigSeller
Asus Zenfone 11 Ultra 12/256
Rp
5.150.000
2-3 Hari
Kab. Trenggalek",https://shopee.co.id/Asus-Zenfone-11-Ultra-12-256-i.1061756408.29894604465?extraParams=%7B%22display_model_id%22%3A370788204240%2C%22model_selection_logic%22%3A3%7D&sp_atk=50cae275-be02-463f-90ec-93aec8ec8360&xptdk=50cae275-be02-463f-90ec-93aec8ec8360
https://down-id.img.susercontent.com/file/id-11134207-7r98r-lyyqqrhwnlwt3d,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Asus Zenfone Z008,Rp,300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyuwangi,,,2-3 Hari,,,,,,,"Scrape to BigSeller
Asus Zenfone Z008
Rp
300.000
2-3 Hari
Kab. Banyuwangi",https://shopee.co.id/Asus-Zenfone-Z008-i.9148983.29207967266?extraParams=%7B%22display_model_id%22%3A233103622360%2C%22model_selection_logic%22%3A3%7D&sp_atk=f3da58ad-c1d9-43ef-a3b4-6eb82ff2c855&xptdk=f3da58ad-c1d9-43ef-a3b4-6eb82ff2c855
https://down-id.img.susercontent.com/file/id-11134207-7ras8-m1ry191sfdtic1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS ZENFONE LIVE L1 HP ANDROID BERKUALITAS HARGA MURAH,Rp,399.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kudus,,5.0,2 Terjual,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"Scrape to BigSeller
ASUS ZENFONE LIVE L1 HP ANDROID BERKUALITAS HARGA MURAH
Rp
399.000
5.0
2 Terjual
3-4 Hari
Kab. Kudus",https://shopee.co.id/ASUS-ZENFONE-LIVE-L1-HP-ANDROID-BERKUALITAS-HARGA-MURAH-i.1038738433.23060518060?extraParams=%7B%22display_model_id%22%3A255013091725%2C%22model_selection_logic%22%3A3%7D&sp_atk=691796cb-7ae2-4799-be2f-a76d8ea02bdb&xptdk=691796cb-7ae2-4799-be2f-a76d8ea02bdb
https://down-id.img.susercontent.com/file/id-11134207-822wl-mn6oacxzsz5wc3,https://down-id.img.susercontent.com/file/id-11134258-7ra0r-mbetcosmf42z25,Asus Zenfone 9 8GB/256GB Resmi TAM,Rp,4.899.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,,4.8,7 Terjual,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"Scrape to BigSeller
Asus Zenfone 9 8GB/256GB Resmi TAM
Rp
4.899.000
4.8
7 Terjual
3-4 Hari
Bekasi",https://shopee.co.id/Asus-Zenfone-9-8GB-256GB-Resmi-TAM-i.15985497.23038278870?extraParams=%7B%22display_model_id%22%3A221456485635%2C%22model_selection_logic%22%3A3%7D&sp_atk=18d43368-71cf-47fb-bc1b-58c80f324adb&xptdk=18d43368-71cf-47fb-bc1b-58c80f324adb
https://down-id.img.susercontent.com/file/id-11134207-7qul6-lgssd1bk8j8ubd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Zenfone 9 8/256gb,Rp,5.390.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,4.6,49 Terjual,-40%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"Scrape to BigSeller
Asus Zenfone 9 8/256gb
Rp
5.390.000
-40%
4.6
49 Terjual
3-5 Hari
Jakarta Barat",https://shopee.co.id/Asus-Zenfone-9-8-256gb-i.12182751.18169676027?extraParams=%7B%22display_model_id%22%3A89361755930%2C%22model_selection_logic%22%3A3%7D&sp_atk=fab7df7d-4dd5-402e-9cb1-a4f1f70a3c00&xptdk=fab7df7d-4dd5-402e-9cb1-a4f1f70a3c00
https://down-id.img.susercontent.com/file/0578b44c65a311345c6961ced62b0333,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"ASUS ZENFONE MAX PRO M1 6/64,4/64 EX TAM",Rp,1.600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,4.4,55 Terjual,,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"Scrape to BigSeller
ASUS ZENFONE MAX PRO M1 6/64,4/64 EX TAM
Rp
1.600.000
Cicilan
4.4
55 Terjual
3-5 Hari
Jakarta Barat",https://shopee.co.id/ASUS-ZENFONE-MAX-PRO-M1-6-64-4-64-EX-TAM-i.12182751.1320580148?extraParams=%7B%22display_model_id%22%3A108909045883%2C%22model_selection_logic%22%3A3%7D&sp_atk=4ca712e4-3284-46dd-86e9-a00ab4b8f452&xptdk=4ca712e4-3284-46dd-86e9-a00ab4b8f452
https://down-id.img.susercontent.com/file/c893494454d512e381e3ab642f18d85a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Asus Zenfone Max Pro M2 6/64,4/64 Gb",Rp,980.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,4.6,7 Terjual,-1%,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"Scrape to BigSeller
Asus Zenfone Max Pro M2 6/64,4/64 Gb
Rp
980.000
-1%
Cicilan
4.6
7 Terjual
3-5 Hari
Jakarta Barat",https://shopee.co.id/Asus-Zenfone-Max-Pro-M2-6-64-4-64-Gb-i.12182751.5834051243?extraParams=%7B%22display_model_id%22%3A285003794062%2C%22model_selection_logic%22%3A3%7D&sp_atk=6d3f1d03-dad9-46f7-8639-15b54d2c88ac&xptdk=6d3f1d03-dad9-46f7-8639-15b54d2c88ac
