web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller,category,brand,condition,sold_text,sold_num
1775099584-79,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/jsphone-1/huawei-pura-80-pro-12-256-garansi-resmi-lengkap-mulus-1734870911257511233?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,HUAWEI PURA 80  12/256 GARANSI RESMI LENGKAP,90490000,0,0 rating • 0 ulasan,1 barang berhasil terjual,SMILE PHONE JOGJA_NEW,Hp,Huwawei,Bekas,Terjual 1,1
1775099589-80,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/tomica78/huawei-p50-pro-resmi-indonesia-1731988860406039900?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei p50 pro resmi Indonesia,59999990,5.0,1 rating • 0 ulasan,Terjual 1,Tomica78,Hp,Huwawei,Bekas,Terjual 1,1
1775099594-81,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/yanshop22/huawai-p30-pro-ram-8gb-rom-256gb-1733393813721417405?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,HUAWAI P30 PRO RAM 8GB ROM 256GB,29000000,0,0 rating • 0 ulasan,Terjual 0,yanshop07_NEW,Hp,Huwawei,Bekas,Terjual 0,0
1775099599-82,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/tokoacoy/huawei-nova-9-8-256gb-starry-blue?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei Nova 9 8/256GB Starry Blue,34500000,4.5,4 rating • 3 ulasan,Terjual 10,Tokoacoy Official_NEW,Hp,Huwawei,Bekas,Terjual 10,10
1775099604-83,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/indramjazz/huawei-mate-40-pro-256gb-original-mulus-fullset-af1a4?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei mate 40 pro 256gb original mulus - fullset,75000000,4.5,4 rating • 1 ulasan,Terjual 11,jazz gadget store,Hp,Huwawei,Bekas,Terjual 11,11
1775099610-84,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/afracall/huawei-p30-pro-8-256gb-mystic-blue-resmi-indonesia-1729825525732378203?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,HUAWEI P30 PRO 8/256GB Mystic Blue Resmi Indonesia,59990000,5.0,31 rating • 17 ulasan,Terjual 50+,afra call,Hp,Huwawei,Bekas,Terjual 50+,50
1775099615-85,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/uruharacell/huawei-p30-pro-4g-256gb-normal-mulus-tinggal-pakai?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei P30 Pro 4G 256GB Normal Mulus Tinggal Pakai,36850000,5.0,2 rating • 2 ulasan,Terjual 4,UruharaPhoneShop,Hp,Huwawei,Bekas,Terjual 4,4
1775099620-86,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/081235902324/huawei-t10-2-32gb-second?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,huawei t10 2/32gb second,14000000,4.0,1 rating • 1 ulasan,Terjual 1,hafidzcellwtc,Hp,Huwawei,Bekas,Terjual 1,1
1775099625-87,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/officialts/huawei-p50-pro-8-256-garansi-resmi-like-new?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,huawei p50 pro 8/256 garansi resmi like new,77990000,5.0,30 rating • 14 ulasan,Terjual 50+,Toko Sedulur Official,Hp,Huwawei,Bekas,Terjual 50+,50
1775099630-88,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/briantogadget/huawei-mate-50-pro-512-gb-kunlun-glass?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei Mate 50 pro 512 Gb kunlun glass,85000000,5.0,1 rating • 1 ulasan,Terjual 1,Briantogadget,Hp,Huwawei,Bekas,Terjual 1,1
1775099635-89,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/louartstore/huawei-nova-13-pro-12gb-512gb-garansi-resmi-bekas-murah-1734475906921629609?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei Nova 13 Pro 12GB/512GB | Garansi Resmi | Bekas | Murah,50880000,0,0 rating • 0 ulasan,Terjual 0,Louart Store,Hp,Huwawei,Bekas,Terjual 0,0
1775099640-90,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/iboysecondphone/huawei-mate-30-pro-second-resmi-8-256gb-nominus?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei Mate 30 Pro Second 8/256gb Nominus,42000000,5.0,1 rating • 0 ulasan,Terjual 2,iboysecondphone,Hp,Huwawei,Bekas,Terjual 2,2
1775099645-91,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/tomberry/second-huwawei-mate-20-pro-6-128-green-garansi-resmi-huawei-indonesia?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Second Huwawei Mate 20 Pro 6/128 Green Garansi Resmi Huawei Indonesia,58000000,0,0 rating • 0 ulasan,Terjual 0,tom&berry,Hp,Huwawei,Bekas,Terjual 0,0
1775099650-92,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/indramjazz/huawei-mate-20-128gb-rom-6gb-ram-original?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei mate 20 128gb Rom 6gb ram original,20000000,5.0,3 rating • 2 ulasan,Terjual 12,jazz gadget store,Hp,Huwawei,Bekas,Terjual 12,12
1775099655-93,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/azkaayracell/huawei-mate-10-pro-biru-ram-6-128gb-all-operator-normal-1734163894076605776?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei Mate 10 pro Biru Ram 6/128gb All operator normal,9000000,0,0 rating • 0 ulasan,Terjual 0,Azka Ayra Cell,Hp,Huwawei,Bekas,Terjual 0,0
1775099660-94,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/noval-alvian-store/huawei-p50-pro-8-256gb-lengkap-resmi-indonesia?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,HUAWEI P50 PRO 8/256GB LENGKAP RESMI INDONESIA,78990000,5.0,3 rating • 2 ulasan,Terjual 5,Noval alvian store.,Hp,Huwawei,Bekas,Terjual 5,5
1775099665-95,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/fastgadget/huawei-p30-8-128-gb-bnob?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,HUAWEI P30 8/128 GB BNOB,35000000,5.0,1 rating • 0 ulasan,Terjual 1,FAST GADGET OFFICIAL,Hp,Huwawei,Bekas,Terjual 1,1
1775099670-96,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/rudi-embroidery/huawei-pura-80-garansi-resmi-indonesia-1734478972960278148?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei pura 80 garansi resmi Indonesia,81000000,0,0 rating • 0 ulasan,Terjual 0,Rudi Embroidery,Hp,Huwawei,Bekas,Terjual 0,0
1775099675-97,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/rastorebyrastore/huawei-p30-pro-ram-8gb-internal-256gb-resmi-indonesia-mantap?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,huawei p30 pro ram 8gb internal 128gb resmi Indonesia mantap,32000000,4.7,3 rating • 1 ulasan,Terjual 3,RA store phone,Hp,Huwawei,Bekas,Terjual 3,3
1775099680-98,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/tokoacoy/huawei-p40-pro-ram-8-256gb-5g-resmi-unit-only?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,HUAWEI P40 PRO RAM 8/256GB 5G RESMI - Unit only,45500000,4.7,19 rating • 11 ulasan,Terjual 30+,Tokoacoy Official_NEW,Hp,Huwawei,Bekas,Terjual 30+,30
1775099685-99,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/tokoacoy/huawei-mate-30-pro-8-256gb-garansi-resmi-fullset-0932d?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei Mate 30 Pro 8/256GB Garansi Resmi - Fullset,44000000,3.7,3 rating • 2 ulasan,Terjual 6,Tokoacoy Official_NEW,Hp,Huwawei,Bekas,Terjual 6,6
1775099690-100,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/v3cellular-1/huawei-p30-pro-8-256-gb-second-1734234510399866044?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei P30 Pro 8/256 GB Second,32200000,0,0 rating • 0 ulasan,Terjual 0,v3cellgadged,Hp,Huwawei,Bekas,Terjual 0,0
1775099695-101,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/itsfanashop/huawei-nova-9-kondisi-dan-kelengkapan-sesuai-foto-1731992480218580110?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei Nova 9 - kondisi dan kelengkapan sesuai foto,6000000,0,0 rating • 0 ulasan,1 barang berhasil terjual,Beyyi,Hp,Huwawei,Bekas,Terjual 1,1
1775099700-102,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/pabalatak25/huawei-mate-30-pro-5g?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,huawei mate 30 pro 5g,25000000,5.0,3 rating • 2 ulasan,Terjual 5,pabalatak25,Hp,Huwawei,Bekas,Terjual 5,5
1775099705-103,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/gadgetstore98/huawei-mate-30-pro-second-original-resmi-1731559813842437527?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei Mate 30 Pro Second Original Resmi - unit only,45000000,5.0,1 rating • 0 ulasan,Terjual 3,Storegadget12,Hp,Huwawei,Bekas,Terjual 3,3
