web_scraper_order,web_scraper_start_url,detail produk,detail produk-href,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
1777982506-236,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,Laptop Advan Soulmate Celeron N4020 4GB/128GB Windows 14 inchRp2.500.000Hemat s.d  1% Pakai Bonus3 terjualAeroTechnologyBatam,https://www.tokopedia.com/aerotechnology/laptop-advan-soulmate-celeron-n4020-4gb-128gb-windows-14-inch?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,Laptop Advan Soulmate Celeron N4020 4GB/128GB Windows 14 inch,Rp2.490.000,,3 barang berhasil terjual,Kota Batam,AeroTechnology
1777982511-237,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,"Advan TBook Intel N100 8GB eMMC 128GB 14"" W11Rp4.981.000Hemat s.d  1% Pakai Bonus5.01 terjualELS Computer - SoloSurakarta",https://www.tokopedia.com/els-solo/advan-tbook-intel-n100-8gb-emmc-128gb-14-w11-1734347454513251939?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"Advan TBook Intel N100 8GB eMMC 128GB 14"" W11",Rp4.981.000,5.0,Terjual 1,Kota Surakarta,ELS Computer - Solo
1777982517-238,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,ADVAN Workmate Ryzen 5 3500 8Gb 256Gb Win 11 14 Inch Wuxga IPS GreyRp5.729.000Hemat s.d  1% Pakai Bonus5.024 terjualAGRES ID Jakarta TimurJakarta Timur,https://www.tokopedia.com/agresidjaktim/advan-workmate-ryzen-5-3500-8gb-256gb-win-11-14-inch-wuxga-ips-grey-1732229805343344416?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,ADVAN Workmate Ryzen 5 3500 8Gb 256Gb Win 11 14 Inch Wuxga IPS Grey - Non-Antigores,Rp5.729.000,5.0,Terjual 24,Kota Administrasi Jakarta Timur,AGRES ID Jakarta Timur
1777982522-239,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,Laptop Advan Soulmate X 14 Inch FHD AMD 3020e 4GB/128GB Upgradable Slim dan Elegan Design RAM & Storage UpgradableRp3.000.0005.08 terjualOla ComJakarta Timur,https://www.tokopedia.com/ola-com/laptop-advan-soulmate-x-14-inch-fhd-amd-3020e-4gb-128gb-upgradable-slim-dan-elegan-design-ram-storage-upgradable-1733615412532839893?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,Laptop Advan Soulmate X 14 Inch FHD AMD 3020e 4GB/128GB Upgradable Slim dan Elegan Design RAM & Storage Upgradable,Rp3.000.000,5.0,Terjual 8,Kota Administrasi Jakarta Timur,Ola Com
1777982527-240,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,Advan Laptop Soulmate Celeron N4020 4GB/128GB Garansi ResmiRp3.399.0005.04 terjualsevenshopptkPontianak,https://www.tokopedia.com/sevenshopptk/advan-laptop-soulmate-celeron-n4020-4gb-128gb-garansi-resmi-hitam-4gb-128gb-24240?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"Advan Laptop Soulmate Celeron N4020 4GB/128GB Garansi Resmi - Hitam, 4GB/128GB",Rp3.399.000,5.0,Terjual 4,Kota Pontianak,sevenshopptk
1777982532-241,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,ADVAN WORKPRO LITE INTEL CORE I3-1215U 8GB SSD 256GB 14″ FHD W11Rp5.500.000Hemat s.d  1% Pakai Bonus5.05 terjualDENSACOM STOREKab. Kediri,https://www.tokopedia.com/densacom-store/advan-workpro-lite-intel-core-i3-1215u-8gb-ssd-256gb-14-fhd-w11-1731233536121537717?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,ADVAN WORKPRO LITE INTEL CORE I3-1215U 8GB SSD 256GB 14″ FHD W11,Rp5.500.000,5.0,Terjual 5,Kab. Kediri,DENSACOM STORE
1777982537-242,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,(DCG) FREE TAS ADVAN WORKMATE R5-3500U 8/256 GB GARANSI RESMIRp5.875.000Rp6.000.000Hemat s.d  1% Pakai Bonus5.06 terjualDIGITAL CELLULAR GRUPMedan,https://www.tokopedia.com/digitalcellulargroupos/dcg-free-tas-advan-workmate-r5-3500u-8-256-gb-garansi-resmi-1734433602818638993?extParam=ivf%3Dtrue%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,(DCG) FREE TAS ADVAN WORKMATE R5-3500U 8/256 GB GARANSI RESMI - GREY,Rp5.875.000,5.0,Terjual 6,Kota Medan,DIGITAL CELLULAR GRUP
1777982542-243,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,Notebook Advan Soulmate Intel N4020 Laptop Advan Soulmate Garansi ResmiRp3.495.0005.016 terjualLanggan CommCirebon,https://www.tokopedia.com/langgan-comm/notebook-advan-soulmate-intel-n4020-laptop-advan-soulmate-garansi-resmi-1731373245109011798?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,Notebook Advan Soulmate Intel N4020 Laptop Advan Soulmate Garansi Resmi,Rp3.495.000,5.0,Terjual 16,Kota Cirebon,Langgan Comm
1777982547-244,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,"Advan Soulmate X2 AMD Athlon 3020e 8GB SSD 128GB 14"" W11Rp4.451.000Hemat s.d  1% Pakai Bonus5.04 terjualEls ComputerYogyakarta",https://www.tokopedia.com/elscomputer/advan-soulmate-x2-amd-athlon-3020e-8gb-ssd-128gb-14-w11-1734122127503623272?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"Advan Soulmate X2 AMD Athlon 3020e 8GB SSD 128GB 14"" W11 - White",Rp4.451.000,5.0,Terjual 4,Kota Yogyakarta,Els Computer
1777982552-245,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,24%LAPTOP ADVAN TBOOK Core N100 4GB/ 8GB 128GB 14.0 W11Rp4.199.000Rp5.499.000Hemat s.d  1% Pakai Bonus5.03 terjualProTech ComJakarta Pusat,https://www.tokopedia.com/protechcom/laptop-advan-tbook-core-n100-4gb-8gb-128gb-14-0-w11-1730817555634947118?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"LAPTOP ADVAN TBOOK Core N100 4GB/ 8GB 128GB 14.0 W11 - DDR4 4GB, UNTI",Rp4.199.000,5.0,Terjual 3,Kota Administrasi Jakarta Pusat,ProTech Com
1777982557-246,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,19%ADVAN WORKMATE AMD RYZEN 5 3500 16GB 8GB 512GB 256GB W11 OFFICE 14.0 FHD IPS LAPTOP NOTEBOOK COCOK UNTUK KERJA SEHARI-HARIRp5.704.000Rp6.999.000Hemat s.d  1% Pakai Bonus1 terjualroyalltechJakarta Utara,https://www.tokopedia.com/royalltech/advan-workmate-amd-ryzen-5-3500-16gb-8gb-512gb-256gb-w11-office-14-0-fhd-ips-laptop-notebook-cocok-untuk-kerja-sehari-hari-1733291659576903159?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch%26whid%3D4029903,"ADVAN WORKMATE AMD RYZEN 5 3500 16GB 8GB 512GB 256GB W11 OFFICE 14.0 FHD IPS LAPTOP NOTEBOOK COCOK UNTUK KERJA SEHARI-HARI - LAPTOP, RAM 8GB/256GB",Rp5.704.000,,1 barang berhasil terjual,Kota Administrasi Jakarta Utara,royalltech
1777982562-247,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,40%LAPTOP ADVAN TBOOK INTEL N100 8GB 128GB W11 14.0 INCHRp4.174.000Rp6.999.000Hemat s.d  1% Pakai Bonus5.090+ terjualroyalltechJakarta Utara,https://www.tokopedia.com/royalltech/laptop-advan-tbook-intel-n100-8gb-128gb-w11-14-0-inch-1734370772617627127?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"LAPTOP ADVAN TBOOK INTEL N100 8GB 128GB W11 14.0 INCH - LAPTOP, RAM 4GB/128GB",Rp4.174.000,5.0,Terjual 90+,Kota Administrasi Jakarta Utara,royalltech
1777982567-248,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,ADVAN WORKMATE ADVAN WORKMATE R5-3500U	R5-3500U - 8GB - SSD 256GB - WIN11+HOME 14.0Rp4.444.444GALERI COMPUTER PEKALONGANPekalongan,https://www.tokopedia.com/galeri-computer-pekalongan/advan-workmate-advan-workmate-r5-3500u-r5-3500u-8gb-ssd-256gb-win11-home-14-0-1734040087276390271?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,ADVAN WORKMATE ADVAN WORKMATE R5-3500U	R5-3500U - 8GB - SSD 256GB - WIN11+HOME 14.0,Rp4.444.444,,,Kota Pekalongan,GALERI COMPUTER PEKALONGAN
1777982572-249,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,Advan Soulmate X2 AMD 3020 8GB 128GB Win 11 14.0 FHD IPSRp3.999.000Hemat s.d  1% Pakai Bonus4.313 terjualAgres ID DepokDepok,https://www.tokopedia.com/agresiddepok/advan-soulmate-x2-amd-3020-8gb-128gb-win-11-14-0-fhd-ips-1733473332692550805?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,Advan Soulmate X2 AMD 3020 8GB 128GB Win 11 14.0 FHD IPS - NON BUNDLE,Rp3.999.000,4.3,Terjual 13,Kota Depok,Agres ID Depok
1777982577-250,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,Advan TBOOK Laptop Intel N100 ram 4GB / 8GB eMMC 128GB 14 inch HD Windows 11Rp4.249.000Hemat s.d  1% Pakai Bonus5.013 terjualSuper Laris ITMakassar,https://www.tokopedia.com/super-laris-it/advan-tbook-laptop-intel-n100-ram-4gb-8gb-emmc-128gb-14-inch-hd-windows-11-free-mouse-mousepad-1733956982555182980?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"Advan TBOOK Laptop Intel N100 ram 4GB / 8GB eMMC 128GB 14 inch HD Windows 11 - Grey, 4GB",Rp4.249.000,5.0,Terjual 13,Kota Makassar,Super Laris IT
1777982582-251,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,48%ADVAN SOULMATE T N4020 X TBOOK N100 INTEL CELERON 8GB 128GB 256GB 512GB SSD W11 14.0 - LAPTOP ADMIN KULIAH SEKOLAH MURAH FREE INSTAL OFFICE SLIMBOOK HYPE VIVOBOOKRp4.199.000Rp7.999.000Hemat s.d  1% Pakai Bonus5.0100+ terjualAI Official StoreJakarta Utara,https://www.tokopedia.com/alienwareofficial/advan-soulmate-t-n4020-x-tbook-n100-intel-celeron-8gb-128gb-256gb-512gb-ssd-w11-14-0-laptop-admin-kuliah-sekolah-murah-free-instal-office-slimbook-hype-vivobook-1731296242141136147-1734871735222109459?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"ADVAN SOULMATE T N4020 X TBOOK N100 INTEL CELERON 8GB 128GB 256GB 512GB SSD W11 14.0 - LAPTOP ADMIN KULIAH SEKOLAH MURAH FREE INSTAL OFFICE SLIMBOOK HYPE VIVOBOOK - TBOOK - N100 - 4/128, LAPTOP",Rp4.199.000,5.0,Terjual 100+,Kota Administrasi Jakarta Utara,AI Official Store
1777982587-252,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,ADVAN SOULMATE X2 AMD 3020 8GB 128GB W11 14.0 IPS WHTRp3.189.0001 terjualLaptop ProjectJakarta Pusat,https://www.tokopedia.com/laptopproject/advan-soulmate-x2-amd-3020-8gb-128gb-w11-14-0-ips-wht-1733646469219190167?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,ADVAN SOULMATE X2 AMD 3020 8GB 128GB W11 14.0 IPS WHT - UNIT ONLY,Rp3.189.000,,1 barang berhasil terjual,Kota Administrasi Jakarta Pusat,Laptop Project
1777982592-253,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,43%LAPTOP ADVAN TBOOK N100 8GB 128GB W11 14.0Rp4.599.000Rp8.000.000Hemat s.d  1% Pakai Bonus1 terjualCollins OfficialJakarta Pusat,https://www.tokopedia.com/collinsofficial/laptop-advan-tbook-n100-8gb-128gb-w11-14-0-1733361704963835079?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch%26whid%3D6541860,LAPTOP ADVAN TBOOK N100 8GB 128GB W11 14.0 - PROMO SALE,Rp4.599.000,,1 barang berhasil terjual,Kota Administrasi Jakarta Pusat,Collins Official
1777982597-254,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,Advan Laptop Soulmate Intel N4020 Windows 11 - Garansi resmiRp3.888.000Hemat s.d  1% Pakai BonusGundala PhoneJakarta Pusat,https://www.tokopedia.com/gundalaphone/advan-laptop-soulmate-intel-n4020-windows-11-garansi-resmi-1734380336226665722?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,Advan Laptop Soulmate Intel N4020 Windows 11 - Garansi resmi - White,Rp3.888.000,,,Kota Administrasi Jakarta Pusat,Gundala Phone
1777982602-255,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,Advan Soulmate X2 [AMD 3020/8GB/128GB SSD/WIN11]Rp4.200.000Hemat s.d  1% Pakai Bonus1 terjualINTIKOM STORESMedan,https://www.tokopedia.com/intikomstore/advan-soulmate-x2-amd-3020-8gb-128gb-ssd-win11-1734912140163843479-1734912141818627479?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"Advan Soulmate X2 [AMD 3020/8GB/128GB SSD/WIN11] - Midnight Blue, NO BUNDLING",Rp4.200.000,,1 barang berhasil terjual,Kota Medan,INTIKOM STORES
1777982607-256,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,LAPTOP BARU MURAH ADVAN SOULMATE T INTEL N4020 RAM 8GB 128GB WIN 11 ORIGINALRp3.699.0002 terjualTRUEGAMER IDTangerang Selatan,https://www.tokopedia.com/truegamerid/laptop-baru-murah-advan-soulmate-t-intel-n4020-ram-8gb-128gb-win-11-original-1732926271782225331?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,LAPTOP BARU MURAH ADVAN SOULMATE T INTEL N4020 RAM 8GB 128GB WIN 11 ORIGINAL - TANPA BUNDLING,Rp3.699.000,,2 barang berhasil terjual,Kota Tangerang Selatan,TRUEGAMER ID
1777982613-257,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,Advan Workmate Ryzen 5 3500U 8GB SSD 256GB 14″ FHD W11Rp5.799.000Rp5.999.000Hemat s.d  1% Pakai Bonus5.07 terjualInfonet Official StoreJakarta Utara,https://www.tokopedia.com/infonet-official-store/advan-workmate-ryzen-5-3500u-8gb-ssd-256gb-14-fhd-w11-1733604643153479368?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"Advan Workmate Ryzen 5 3500U 8GB SSD 256GB 14″ FHD W11 - LIGHT BLUE, UNIT ONLY",Rp5.799.000,5.0,Terjual 7,Kota Administrasi Jakarta Utara,Infonet Official Store
1777982618-258,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,ADVAN Laptop TBook Intel Celeron N100 Intel N100 8Gb/384GB 14inch Windows 11- Garansi Resmi 1 TahunRp3.479.535Advan Store by TwincomBanjarbaru,https://www.tokopedia.com/advan-store-by-twincom/advan-laptop-tbook-intel-celeron-n100-intel-n100-8gb-384gb-14inch-windows-11-garansi-resmi-1-tahun-1734317769544402428?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,ADVAN Laptop TBook Intel Celeron N100 Intel N100 8Gb/384GB 14inch Windows 11- Garansi Resmi 1 Tahun - 4GB + 128GB,Rp3.479.535,,,Kota Banjarbaru,Advan Store by Twincom
1777982623-259,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,"ADVAN SOULMATE CELERON GEN 3 N4020 4GB 128GB eMMC 14"" HD WIN11 BLACKRp2.329.000Hemat s.d  1% Pakai BonusINFONET Mall PoinsquareJakarta Selatan",https://www.tokopedia.com/infonetmalpoinsquare/advan-soulmate-celeron-gen-3-n4020-4gb-128gb-emmc-14-hd-win11-black-1731479748272490377?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"ADVAN SOULMATE CELERON GEN 3 N4020 4GB 128GB eMMC 14"" HD WIN11 BLACK",Rp2.329.000,,,Kota Administrasi Jakarta Selatan,INFONET Mall Poinsquare
1777982628-260,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,ADVAN SOULMATE X 4GB 1407 L25D-DALI1 - AMD 3020e 4GB 128GB W11 14FHD IPS USB C CHARGER 1YRp3.949.000Hemat s.d  1% Pakai Bonus1 terjualNaga Mas Computer PoinsJakarta Selatan,https://www.tokopedia.com/nagamaspoins/laptop-advan-soulmate-x-amd-3020e-4gb-ssd-128gb-win-11-home-original-1732579436601312956-1735358009068652220?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,ADVAN SOULMATE X 4GB 1407 L25D-DALI1 - AMD 3020e 4GB 128GB W11 14FHD IPS USB C CHARGER 1Y - 4/128GB,Rp3.949.000,,1 barang berhasil terjual,Kota Administrasi Jakarta Selatan,Naga Mas Computer Poins
1777982633-261,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,Laptop Advan Soulmate Intel N4020 Garansi ResmiRp2.799.0005.02 terjualAERO GROUP_NEWBandung,https://www.tokopedia.com/aerogroup/laptop-advan-soulmate-intel-n4020-garansi-resmi?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,Laptop Advan Soulmate Intel N4020 Garansi Resmi,Rp2.799.000,5.0,Terjual 2,Kota Bandung,AERO GROUP_NEW
1777982638-262,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,Laptop Advan TBOOK 14 inch Intel N100 8GB / 128GBRp2.936.888Hemat s.d  1% Pakai BonusLAPTOP JOGJATRONIK MALLYogyakarta,https://www.tokopedia.com/laptop-jogjatronik/laptop-advan-tbook-14-inch-intel-n100-8gb-128gb-1733044580300654120?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,Laptop Advan TBOOK 14 inch Intel N100 8GB / 128GB - RAM 4GB,Rp2.936.888,,,Kota Yogyakarta,LAPTOP JOGJATRONIK MALL
1777982643-263,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,"Advan Soulmate Intel N4020 ram 8GB ssd 128GB 14"" HD Windows 11 ResmiRp4.939.000Hemat s.d  1% Pakai Bonus5.028 terjualSuper Laris ITMakassar",https://www.tokopedia.com/super-laris-it/advan-soulmate-intel-n4020-ram-8gb-ssd-128gb-14-hd-windows-11-resmi-free-mouse-mousepad-1731195245165119364?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"Advan Soulmate Intel N4020 ram 8GB ssd 128GB 14"" HD Windows 11 Resmi",Rp4.939.000,5.0,Terjual 28,Kota Makassar,Super Laris IT
1777982648-264,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,ADVAN SOULMATE T 1405 L24I NSNS1 UPGRADE VERISON - N4020 4GB 128GB eMMC 5.1 W11 HD 1Y BLACKRp2.339.000Hemat s.d  1% Pakai Bonus1 terjualGIGACOM TANGCITYTangerang,https://www.tokopedia.com/gigacom-/advan-soulmate-t-1405-l24i-nsns1-upgrade-verison-n4020-4gb-128gb-emmc-5-1-w11-hd-1y-black-1729906883226141776?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,ADVAN SOULMATE T 1405 L24I NSNS1 UPGRADE VERISON - N4020 4GB 128GB eMMC 5.1 W11 HD 1Y BLACK - 4/128GB,Rp2.339.000,,1 barang berhasil terjual,Kota Tangerang,GIGACOM TANGCITY
1777982653-265,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,"Advan EVO-X 2 in 1 Laptop 16"" Intel Core i3-1215U 12GB RAM 512GB SSD 2K IPS Windows 11H dengan Baterai 6000mAh dan Kamera HDRp7.899.000Hemat s.d  1% Pakai Bonus5.04 terjualINFONET MARGONDA DEPOKDepok",https://www.tokopedia.com/infonet-margonda-depok/advan-evo-x-2-in-1-laptop-16-intel-core-i3-1215u-12gb-ram-512gb-ssd-2k-ips-windows-11h-dengan-baterai-6000mah-dan-kamera-hd-1733821136786917291?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"Advan EVO-X 2 in 1 Laptop 16"" Intel Core i3-1215U 12GB RAM 512GB SSD 2K IPS Windows 11H dengan Baterai 6000mAh dan Kamera HD - UNIT ONLY",Rp7.899.000,5.0,Terjual 4,Kota Depok,INFONET MARGONDA DEPOK
1777982658-266,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,ADVAN T-BOOK X TRANSFORMERS INTEL N100 8GB 384SSD W11Rp4.185.000Hemat s.d  1% Pakai Bonus5.03 terjualJustin ComputerSurabaya,https://www.tokopedia.com/justin-shop/advan-t-book-x-transformers-intel-n100-8gb-384ssd-w11-1730812810297181401?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"ADVAN T-BOOK X TRANSFORMERS INTEL N100 8GB 384SSD W11 - 4GB 128GB, TBOOK N100",Rp4.185.000,5.0,Terjual 4,Kota Surabaya,Justin Computer
1777982663-267,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,Advan Laptop Soulmate Plus AMD Ryzen 5 3500U 8GB 256GB 14 inch HD Windows 11 HomeRp5.915.000Hemat s.d  1% Pakai Bonus5.012 terjualSuper Laris ITMakassar,https://www.tokopedia.com/super-laris-it/advan-soulmate-plus-laptop-amd-ryzen-5-r5-3500u-ram-8gb-ssd-256gb-14-hd-w11-home-free-mouse-mousepad-1731195254246508420?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,Advan Laptop Soulmate Plus AMD Ryzen 5 3500U 8GB 256GB 14 inch HD Windows 11 Home,Rp5.915.000,5.0,Terjual 12,Kota Makassar,Super Laris IT
1777982668-268,https://www.tokopedia.com/search?condition=1&navsource=&sc=3844&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,Laptop murah ADVAN TBOOK N100 8GB 128GB W11 14.0 Inches Garansi ResmiRp4.189.000Rp4.199.000Hemat s.d  1% Pakai Bonus5.04 terjualGamer ID Jakarta SelatanJakarta Selatan,https://www.tokopedia.com/gamer-id-jakarta-selatan/intel-processor-i5-14400f-lga1700-1yt-1732512890079774675-1734824092156528595?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202605051156146FAA8040DA20EF228BFK%26src%3Dsearch,"Laptop murah ADVAN TBOOK N100 8GB 128GB W11 14.0 Inches Garansi Resmi - RAM 4GB, Unit Only",Rp4.199.000,5.0,Terjual 4,Kota Administrasi Jakarta Selatan,Gamer ID Jakarta Selatan
